Couche	Composant	Fichier	Tech	Role	Auteur initial	Statut
1. Interface	Chainlit UI	app.py	Chainlit 2.x	Point d'entree web port 8080, on_message router	P3	Etendu P4
1. Interface	Auth password	app.py L88-122	cl.password_auth_callback	6 utilisateurs hardcodes (jury + equipe)	P4	Cree P4
1. Interface	Donut chart	src/ui/donut_chart.py	SVG natif	10 categories visuelles + sources + tokens	P4	Cree P4
1. Interface	Upload PDF/DOCX	app.py L729-810	PyPDFLoader / Docx2txt	Ingestion session-scoped FAISS	P4	Fix anti-pollution
1. Interface	STT audio	app.py L820-870	Faster-Whisper	Transcription voice -> text	P4	Cree P4
1. Interface	Memoire conv.	src/memory/memory.py	InMemoryChatMessageHistory	Fenetre 20 paires par session_id	P4	Cree P4
1. Interface	Multimodal image	app.py L260-265	Claude vision	Detection image -> route agent	P4	Cree P4
2. Routing	classify_question	src/router/router.py L145-173	LangGraph + LLM Claude	3 voies : rag / agent / chat	P3	Etendu P4 (60+ kw)
2. Routing	AGENT_PRIORITY	src/router/router.py L117-162	Liste keywords	Force agent (mail, predict, en 2030...)	P4	Etendu (60+ kw)
2. Routing	RAG_KEYWORDS	src/router/router.py L97-113	Liste keywords	Force rag (corpus, GIEC, IPCC...)	P3	Inchange
3. RAG	Loader PDF	src/rag/loader.py	PyPDFLoader + RecursiveSplitter	chunk=1500, overlap=150	P1	Inchange
3. RAG	Embeddings	src/rag/embeddings.py	HuggingFace MiniLM-L12 multilingual	384 dims, 1889 chunks	P1	Modele change P4
3. RAG	Retriever MMR	src/rag/retriever.py	FAISS as_retriever MMR	k=12, fetch_k=40, lambda=0.7	P1	Tuned P4
3. RAG	Hybrid retriever	src/rag/hybrid_retriever.py	BM25 + Dense + CrossEncoder	+10% recall, anti Lost-in-the-Middle	P4	Cree P4
3. RAG	Bridge FR-EN	app.py L408-450	Dict 20 termes	GIEC->IPCC, OMM->WMO, inondation->flood	P4	Cree P4
3. RAG	Diversite forcee	app.py L530-548	Post-filter	Max 3 chunks par PDF en top-12	P4	Cree P4
3. RAG	Inventaire exhaustif	app.py L470-493	Court-circuit retrieval	Liste 10 PDFs garantie	P4	Fix P4
3. RAG	Resume exhaustif	app.py L504-528	wants_full_summary + ajout chunks	Garantit 1 chunk par PDF	P4	Fix P4
4. Agent	LangGraph ReAct	src/agents/agent.py	LangGraph StateGraph	Boucle Reason-Act-Observe	P2	Etendu P4
4. Agent	13 outils @tool	src/agents/tools.py	LangChain @tool	Outils binding LLM	P2	9 ajouts P4
4. Agent	Fallback triple LLM	src/agents/agent.py + src/config.py	Try/except Anthropic	Opus -> Sonnet -> Haiku -> Ollama	P4	Cree P4
4. Agent	TokenCounter	src/config.py L99-147	Class custom	Tracking tokens / cout par requete	P4	Cree P4
4. Agent	Detection outils	app.py L63-82	Scan messages + on_chat_model_end	Bonus fallback streaming	P4	Fix P4
5. Outils	get_weather x3	tools.py	OpenMeteo API	Actuel + historique + forecast	P2	2 ajouts P4
5. Outils	web_search	tools.py	Tavily + DuckDuckGo	Tavily prio + fallback DDG	P2	Etendu P4
5. Outils	calculator	tools.py	Sandbox math	AST whitelist	P2	Inchange
5. Outils	search_corpus + list_corpus	tools.py	Wrap RAG	Binding pour agent	P4	Cree P4
5. Outils	send_email + bulk + schedule	tools.py + APScheduler	Gmail SMTP + APS+SQLite	3 outils email	P4	Cree P4
5. Outils	predict_risk + by_type	tools.py	joblib loaded models	2 outils ML	P4	Cree P4
5. Outils	calculer_score_risque	tools.py	Pondere 4 sources	35% meteo + 25% ML + 25% RAG + 15% histo	P4	Cree P4
6. ML	Training script	scripts/train_nb10.py	GBM Quantile + grid 16 modeles	Reproductible CI/CD	P4	Cree P4
6. ML	Notebook NB10	notebooks/NB10_ML_Predictif_Catastrophes.ipynb	Pedagogique	Demo + comparatifs MLflow	P4	Cree P4
6. ML	Joblib export	outputs/NB10_*.joblib	7 fichiers	best_reg/cls + encoders + features	P4	Cree P4
6. ML	Clipping anti-aberration	tools.py L795-870	Plafond 1.5x max histo decadal	Fix prediction France 2003	P4	Fix P4
7. MLOps	MLflow tracking	mlflow.db SQLite	Backend SQLAlchemy	Persistance future-proof	P4	Cree P4
7. MLOps	Tags experiment	scripts/train_nb10.py	set_tags	experiment_type, loss_family, git_commit	P4	Cree P4
7. MLOps	Model Registry	mlflow.db	registered_model_name	NB10_regression v1+, classification v1+	P4	Cree P4
7. MLOps	Run par requete	src/agents/agent.py L210-258	mlflow.log_param/metric	prompt_version (A/B), tokens, cout	P4	Cree P4
8. Infra	Dockerfile	Dockerfile	python:3.11-slim + ffmpeg	Port 8000, EXPOSE	P4	Cree P4
8. Infra	CI workflow	.github/workflows/github-docker-cicd.yaml	GitHub Actions	black + pylint + pytest + Docker push	P4	Cree P4
8. Infra	CD Azure workflow	.github/workflows/azure.yml	GitHub Actions manual	ACR build + Container App update	P4	Cree P4
8. Infra	Cron weekly	.github/workflows/weekly-report.yml	GitHub Schedule	Lundi 8h UTC, scheduled_report.py	P4	Cree P4
9. Alt MCP	Serveur MCP	mcp_server.py	FastMCP	11 outils en FR pour Claude Desktop	P4	Cree P4
9. Alt MCP	Outils MCP	mcp_server.py	@mcp.tool()	meteo, predict, recherche... en FR	P4	Cree P4
